Task Id,Task Name,Date Start,Date End
1,Present Draft Proposal,2024-01-23,2024-01-23
2,Literature review,2024-01-24,2024-01-25
3,Project planning,2024-01-26,2024-01-26
4,Rest days,2024-01-27,2024-01-28
5,Preparation for journal club,2024-01-29,2024-01-30
6,Rest days,2024-01-31,2024-02-01
7,Journal club 01,2024-02-02,2024-02-02
8,Proposal Refinement,2024-02-05,2024-02-05
9,Proposal review,2024-02-06,2024-02-06
10,Journal club 02,2024-02-07,2024-02-07
11,Briefing on Proposal Defense,2024-02-08,2024-02-08
12,Rest days,2024-02-09,2024-02-15
13,Define Data Points,2024-02-16,2024-02-20
14,Journal club 03,2024-02-21,2024-02-21
15,Rest days,2024-02-22,2024-02-25
16,Literature review on Obesity,2024-02-26,2024-02-27
17,Literature review on Planetary Health,2024-02-28,2024-02-29
18,Journal club 04,2024-03-01,2024-03-01
19,Literature review on Epigenetics,2024-03-02,2024-03-05
20,Progress meeting w Prof Azween,2024-03-06,2024-03-06
21,Journal club 05,2024-03-06,2024-03-06
22,Research Proposal Writing,2024-03-07,2024-03-10
23,Prepare for Journal Club,2024-03-11,2024-03-13
24,Update Research Proposal,2024-03-14,2024-03-20
25,Prepare proposal defence,2024-03-21,2024-03-28
